Technology,Country,B2B Sales Medium,Sales Velocity,Sales Stage Iterations,Opportunity Size (USD),Client Revenue Sizing,Client Employee Sizing,Business from Client Last Year,Compete Intel,Opportunity Sizing
ERP Implementation,France,Enterprise Sellers,13,6,55289,100K or less,1K or less,0 (No business),Unknown,50K to 60K
ERP Implementation,Germany,Marketing,16,2,47693,100K or less,1K or less,0 (No business),Unknown,40K to 50K
ERP Implementation,United Kingdom,Marketing,64,2,34356,100K or less,More than 25K,0 (No business),Known,30K to 40K
ERP Implementation,France,Enterprise Sellers,9,1,33325,100K or less,1K or less,"25,000 - 50,000",Unknown,30K to 40K
ERP Implementation,Italy,Enterprise Sellers,7,7,32004,100K or less,1K or less,0 (No business),,30K to 40K
Technical Business Solutions,Spain,Enterprise Sellers,7,3,54992,100K or less,1K or less,0 (No business),Unknown,50K to 60K
ERP Implementation,United Kingdom,Tele Sales,2,2,25000,100K or less,1K or less,0 (No business),Unknown,20K to 30K
Technical Business Solutions,Sweden,Marketing,64,2,42426,100K to 250K,1K or less,"More than 100,000",Known,40K to 50K
ERP Implementation,Germany,Enterprise Sellers,48,2,38344,100K or less,1K or less,0 (No business),Unknown,30K to 40K
Technical Business Solutions,Italy,Enterprise Sellers,44,3,15874,100K or less,1K or less,0 (No business),Unknown,10K to 20K
ERP Implementation,Netherlands,Enterprise Sellers,65,3,15000,250K to 500K,More than 25K,0 (No business),Unknown,10K to 20K
ERP Implementation,Spain,Marketing,16,3,46045,100K or less,1K or less,0 (No business),Known,40K to 50K
ERP Implementation,Spain,Marketing,43,5,68651,100K or less,15K to 25K,"More than 100,000",Known,More than 60K
ERP Implementation,Spain,Marketing,91,4,31108,250K to 500K,More than 25K,0 (No business),Unknown,30K to 40K
ERP Implementation,France,Enterprise Sellers,34,3,16178,100K or less,1K or less,0 (No business),Unknown,10K to 20K
Technical Business Solutions,Netherlands,Enterprise Sellers,41,2,15000,250K to 500K,1K or less,0 (No business),Unknown,10K to 20K
Technical Business Solutions,Spain,Marketing,24,1,44513,100K or less,1K or less,"More than 100,000",Unknown,40K to 50K
Technical Business Solutions,United Kingdom,Marketing,61,5,52020,500K to 1M,15K to 25K,0 (No business),Known,50K to 60K
ERP Implementation,Italy,Marketing,2,2,44816,100K or less,1K or less,0 (No business),Unknown,40K to 50K
ERP Implementation,Spain,Marketing,12,2,126864,100K or less,1K or less,0 (No business),Unknown,More than 60K
ERP Implementation,United Kingdom,Enterprise Sellers,35,3,11722,100K or less,1K or less,0 (No business),Unknown,10K to 20K
ERP Implementation,Italy,Enterprise Sellers,44,2,39250,More than 1M,More than 25K,0 (No business),Unknown,30K to 40K
Technical Business Solutions,Spain,Enterprise Sellers,54,8,15337,100K or less,1K or less,0 (No business),Unknown,10K to 20K
ERP Implementation,Spain,Marketing,81,2,14048,More than 1M,15K to 25K,0 (No business),Known,10K to 20K
ERP Implementation,France,Enterprise Sellers,2,7,16090,100K or less,1K or less,0 (No business),,10K to 20K
Technical Business Solutions,Germany,Enterprise Sellers,17,3,27267,100K or less,1K or less,0 (No business),,20K to 30K
Technical Business Solutions,Germany,Enterprise Sellers,44,3,915,100K to 250K,1K to 5K,0 (No business),Unknown,10K or less
ERP Implementation,Spain,Enterprise Sellers,58,2,4000,100K or less,1K or less,0 (No business),Unknown,10K or less
ERP Implementation,France,Marketing,78,2,5217,More than 1M,1K to 5K,0 (No business),Unknown,10K or less
ERP Implementation,France,Enterprise Sellers,44,3,49913,100K or less,1K or less,0 (No business),Unknown,40K to 50K
ERP Implementation,Spain,Enterprise Sellers,88,2,11627,100K or less,1K or less,0 (No business),Unknown,10K to 20K
ERP Implementation,France,Marketing,67,3,35942,500K to 1M,1K to 5K,"0 - 25,000",,30K to 40K
ERP Implementation,Italy,Enterprise Sellers,92,1,90429,500K to 1M,1K or less,0 (No business),Unknown,More than 60K
ERP Implementation,Spain,Enterprise Sellers,80,3,3800,100K to 250K,1K or less,0 (No business),,10K or less
Technical Business Solutions,France,Enterprise Sellers,16,3,32788,100K or less,1K or less,0 (No business),Unknown,30K to 40K
Technical Business Solutions,France,Enterprise Sellers,44,4,7750,100K or less,1K or less,0 (No business),Unknown,10K or less
ERP Implementation,Spain,Marketing,37,3,40416,100K or less,1K or less,0 (No business),Unknown,40K to 50K
ERP Implementation,Spain,Enterprise Sellers,81,1,10000,100K or less,1K or less,0 (No business),Unknown,10K to 20K
ERP Implementation,Italy,Marketing,42,5,25000,100K or less,1K or less,0 (No business),Unknown,20K to 30K
Technical Business Solutions,France,Partners,55,2,54974,500K to 1M,15K to 25K,0 (No business),Unknown,50K to 60K
Technical Business Solutions,United Kingdom,Enterprise Sellers,44,2,15000,100K or less,1K or less,0 (No business),Unknown,10K to 20K
ERP Implementation,Italy,Marketing,14,4,34461,100K or less,1K or less,0 (No business),Unknown,30K to 40K
ERP Implementation,France,Marketing,9,3,11891,100K or less,1K or less,"50,000 - 100,000",Unknown,10K to 20K
Technical Business Solutions,Sweden,Enterprise Sellers,16,3,17952,100K or less,1K or less,0 (No business),Unknown,10K to 20K
Technical Business Solutions,Germany,Enterprise Sellers,28,2,28971,100K or less,1K or less,0 (No business),Unknown,20K to 30K
ERP Implementation,United Kingdom,Enterprise Sellers,43,2,14189,100K or less,1K or less,0 (No business),Unknown,10K to 20K
Technical Business Solutions,France,Marketing,0,3,96903,100K or less,1K or less,0 (No business),Unknown,More than 60K
Technical Business Solutions,Spain,Marketing,86,4,32930,250K to 500K,1K to 5K,0 (No business),Unknown,30K to 40K
Technical Business Solutions,Spain,Enterprise Sellers,32,3,30480,100K or less,1K or less,0 (No business),Unknown,30K to 40K
Technical Business Solutions,Germany,Marketing,44,2,11627,More than 1M,More than 25K,0 (No business),Unknown,10K to 20K
ERP Implementation,Spain,Enterprise Sellers,35,1,4294,100K or less,1K or less,0 (No business),Unknown,10K or less
ERP Implementation,France,Enterprise Sellers,64,2,12904,100K or less,1K or less,0 (No business),Unknown,10K to 20K
ERP Implementation,France,Marketing,2,3,47137,100K or less,1K or less,0 (No business),Unknown,40K to 50K
ERP Implementation,United Kingdom,Marketing,51,2,44955,100K or less,1K or less,0 (No business),Known,40K to 50K
ERP Implementation,France,Enterprise Sellers,6,2,7750,100K or less,1K or less,0 (No business),,10K or less
ERP Implementation,France,Online Leads,73,3,30393,100K or less,More than 25K,0 (No business),Unknown,30K to 40K
ERP Implementation,France,Tele Sales,75,3,12000,100K or less,1K to 5K,0 (No business),,10K to 20K
Technical Business Solutions,United Kingdom,Tele Sales,34,3,28389,100K or less,1K or less,0 (No business),Unknown,20K to 30K
ERP Implementation,France,Marketing,10,2,10000,100K or less,1K or less,0 (No business),Unknown,10K to 20K
Technical Business Solutions,Spain,Marketing,11,3,0,100K or less,1K or less,"More than 100,000",Known,10K or less
ERP Implementation,Italy,Enterprise Sellers,9,3,37000,100K or less,1K or less,0 (No business),Unknown,30K to 40K
ERP Implementation,France,Enterprise Sellers,54,1,19249,100K or less,1K or less,0 (No business),Unknown,10K to 20K
ERP Implementation,Germany,Enterprise Sellers,10,2,1000,100K or less,1K or less,0 (No business),Unknown,10K or less
ERP Implementation,Spain,Enterprise Sellers,27,2,6182,100K or less,1K or less,"0 - 25,000",Unknown,10K or less
ERP Implementation,Netherlands,Tele Sales,0,2,0,100K or less,1K or less,0 (No business),Unknown,10K or less
ERP Implementation,Netherlands,Enterprise Sellers,41,4,35471,More than 1M,1K or less,0 (No business),Unknown,30K to 40K
ERP Implementation,Germany,Enterprise Sellers,16,4,30780,100K or less,1K or less,0 (No business),Unknown,30K to 40K
ERP Implementation,France,Marketing,72,3,16763,More than 1M,More than 25K,0 (No business),Unknown,10K to 20K
ERP Implementation,Netherlands,Enterprise Sellers,44,3,27739,250K to 500K,5K to 15K,0 (No business),,20K to 30K
ERP Implementation,Italy,Tele Sales,1,2,25000,100K or less,1K or less,0 (No business),Unknown,20K to 30K
ERP Implementation,France,Enterprise Sellers,41,3,15501,100K or less,1K or less,0 (No business),Unknown,10K to 20K
Technical Business Solutions,Spain,Enterprise Sellers,9,4,24413,500K to 1M,15K to 25K,0 (No business),Unknown,20K to 30K
Technical Business Solutions,Germany,Marketing,3,3,2500,100K or less,1K or less,0 (No business),Unknown,10K or less
ERP Implementation,United Kingdom,Enterprise Sellers,20,2,10000,100K or less,1K or less,0 (No business),Unknown,10K to 20K
ERP Implementation,United Kingdom,Enterprise Sellers,81,4,34422,100K or less,1K or less,0 (No business),Unknown,30K to 40K
ERP Implementation,France,Marketing,63,2,49706,More than 1M,1K or less,0 (No business),Known,40K to 50K
Technical Business Solutions,United Kingdom,Marketing,89,4,52745,More than 1M,1K or less,0 (No business),Known,50K to 60K
ERP Implementation,Spain,Enterprise Sellers,63,2,5000,100K to 250K,5K to 15K,0 (No business),Unknown,10K or less
ERP Implementation,Spain,Marketing,43,2,42522,100K or less,1K or less,"50,000 - 100,000",Unknown,40K to 50K
ERP Implementation,France,Enterprise Sellers,16,3,39528,100K or less,1K or less,0 (No business),,30K to 40K
Technical Business Solutions,United Kingdom,Marketing,21,3,55538,100K or less,1K or less,0 (No business),Unknown,50K to 60K
ERP Implementation,Germany,Marketing,0,2,78721,100K or less,1K or less,0 (No business),Unknown,More than 60K
Technical Business Solutions,Sweden,Marketing,0,2,39551,100K or less,1K or less,"0 - 25,000",Unknown,30K to 40K
Analytics,Spain,Enterprise Sellers,32,2,33189,100K or less,1K or less,0 (No business),Unknown,30K to 40K
Technical Business Solutions,Spain,Enterprise Sellers,62,2,12500,100K or less,1K or less,0 (No business),Unknown,10K to 20K
ERP Implementation,Netherlands,Enterprise Sellers,16,10,14902,100K to 250K,15K to 25K,0 (No business),Unknown,10K to 20K
Technical Business Solutions,Spain,Enterprise Sellers,76,2,25000,100K or less,1K or less,0 (No business),Unknown,20K to 30K
Technical Business Solutions,France,Marketing,15,2,19841,100K or less,1K or less,0 (No business),,10K to 20K
Technical Business Solutions,Sweden,Enterprise Sellers,66,2,34676,250K to 500K,1K or less,0 (No business),Unknown,30K to 40K
ERP Implementation,Germany,Marketing,61,3,34842,100K or less,5K to 15K,0 (No business),Unknown,30K to 40K
Technical Business Solutions,Spain,Enterprise Sellers,24,4,28864,500K to 1M,1K or less,0 (No business),Unknown,20K to 30K
ERP Implementation,France,Tele Sales,28,2,51333,100K or less,1K or less,0 (No business),Unknown,50K to 60K
ERP Implementation,United Kingdom,Marketing,45,3,1000,100K or less,5K to 15K,0 (No business),Known,10K or less
ERP Implementation,Italy,Enterprise Sellers,15,3,39182,100K or less,1K or less,0 (No business),Unknown,30K to 40K
ERP Implementation,Spain,Marketing,73,2,26217,More than 1M,15K to 25K,0 (No business),Unknown,20K to 30K
Technical Business Solutions,United Kingdom,Enterprise Sellers,62,2,10000,100K or less,1K or less,0 (No business),Unknown,10K to 20K
ERP Implementation,Sweden,Enterprise Sellers,17,3,12618,100K or less,1K or less,0 (No business),Unknown,10K to 20K
Technical Business Solutions,United Kingdom,Marketing,39,3,53837,100K or less,1K or less,"More than 100,000",Unknown,50K to 60K
Technical Business Solutions,Italy,Enterprise Sellers,37,5,34198,100K or less,1K to 5K,0 (No business),Unknown,30K to 40K
Technical Business Solutions,Spain,Enterprise Sellers,89,2,11485,100K or less,1K or less,0 (No business),Unknown,10K to 20K
ERP Implementation,France,Marketing,10,3,30545,100K or less,1K or less,0 (No business),,30K to 40K
ERP Implementation,Germany,Marketing,89,2,33870,250K to 500K,5K to 15K,0 (No business),Unknown,30K to 40K
ERP Implementation,Italy,Marketing,71,3,42049,100K or less,1K or less,0 (No business),Unknown,40K to 50K
ERP Implementation,Spain,Enterprise Sellers,31,4,38491,100K or less,1K or less,0 (No business),Unknown,30K to 40K
ERP Implementation,Germany,Enterprise Sellers,36,5,1973,100K or less,1K or less,0 (No business),Known,10K or less
ERP Implementation,Netherlands,Enterprise Sellers,79,1,42239,100K or less,1K or less,0 (No business),Unknown,40K to 50K
ERP Implementation,United Kingdom,Enterprise Sellers,62,3,16341,100K or less,More than 25K,0 (No business),Known,10K to 20K
ERP Implementation,Germany,Marketing,91,3,26767,More than 1M,1K to 5K,0 (No business),Unknown,20K to 30K
ERP Implementation,United Kingdom,Enterprise Sellers,27,2,36809,100K or less,1K or less,0 (No business),Unknown,30K to 40K
ERP Implementation,Germany,Marketing,64,4,37040,500K to 1M,1K to 5K,"0 - 25,000",Known,30K to 40K
Technical Business Solutions,Spain,Marketing,26,3,46682,100K or less,1K or less,0 (No business),Known,40K to 50K
Technical Business Solutions,Netherlands,Enterprise Sellers,56,4,2000,100K or less,More than 25K,0 (No business),Unknown,10K or less
ERP Implementation,Spain,Marketing,85,3,49097,More than 1M,More than 25K,0 (No business),Known,40K to 50K
ERP Implementation,France,Marketing,1,2,9000,100K or less,1K or less,0 (No business),Unknown,10K or less
ERP Implementation,Spain,Enterprise Sellers,44,2,30625,250K to 500K,15K to 25K,0 (No business),Unknown,30K to 40K
ERP Implementation,France,Enterprise Sellers,44,2,15774,100K or less,1K or less,0 (No business),Unknown,10K to 20K
ERP Implementation,France,Marketing,28,2,20514,100K or less,1K or less,0 (No business),,20K to 30K
ERP Implementation,Italy,Enterprise Sellers,28,4,44276,100K or less,1K or less,0 (No business),Unknown,40K to 50K
ERP Implementation,Spain,Marketing,73,2,48262,100K or less,1K to 5K,0 (No business),Unknown,40K to 50K
ERP Implementation,Spain,Enterprise Sellers,81,2,25000,100K to 250K,1K to 5K,0 (No business),Unknown,20K to 30K
ERP Implementation,Germany,Enterprise Sellers,87,2,37209,100K or less,1K or less,0 (No business),Unknown,30K to 40K
Technical Business Solutions,Sweden,Enterprise Sellers,83,3,46319,100K or less,1K or less,0 (No business),Unknown,40K to 50K
ERP Implementation,Netherlands,Marketing,82,4,41962,100K or less,1K or less,"25,000 - 50,000",Known,40K to 50K
Technical Business Solutions,Spain,Marketing,43,4,63667,500K to 1M,1K or less,"More than 100,000",Known,More than 60K
ERP Implementation,Netherlands,Marketing,86,3,31243,More than 1M,More than 25K,0 (No business),Known,30K to 40K
ERP Implementation,Spain,Enterprise Sellers,4,3,16953,100K or less,1K or less,0 (No business),Unknown,10K to 20K
Technical Business Solutions,Germany,Enterprise Sellers,9,3,35161,100K or less,1K or less,0 (No business),Unknown,30K to 40K
Technical Business Solutions,Germany,Marketing,26,7,23862,100K or less,1K or less,"0 - 25,000",Known,20K to 30K
ERP Implementation,France,Tele Sales,51,2,45105,100K or less,1K or less,0 (No business),Unknown,40K to 50K
ERP Implementation,Germany,Enterprise Sellers,84,3,0,More than 1M,5K to 15K,0 (No business),Unknown,10K or less
ERP Implementation,France,Marketing,47,2,33132,100K or less,1K or less,0 (No business),Unknown,30K to 40K
Technical Business Solutions,Spain,Tele Sales,4,3,0,100K or less,1K or less,0 (No business),Unknown,10K or less
Technical Business Solutions,Italy,Marketing,6,4,30868,100K or less,1K or less,0 (No business),Unknown,30K to 40K
ERP Implementation,France,Marketing,83,3,30718,250K to 500K,5K to 15K,"0 - 25,000",Known,30K to 40K
Legacy Modernization,Italy,Marketing,35,2,57209,100K or less,1K or less,0 (No business),Unknown,50K to 60K
Technical Business Solutions,France,Marketing,74,4,51737,100K or less,5K to 15K,0 (No business),Known,50K to 60K
ERP Implementation,France,Enterprise Sellers,44,2,15501,100K or less,1K or less,0 (No business),Unknown,10K to 20K
Technical Business Solutions,Netherlands,Enterprise Sellers,16,3,35454,100K or less,1K or less,0 (No business),Unknown,30K to 40K
ERP Implementation,Spain,Marketing,57,2,44250,More than 1M,More than 25K,"More than 100,000",Known,40K to 50K
ERP Implementation,Spain,Marketing,23,3,17196,100K or less,1K or less,0 (No business),Unknown,10K to 20K
Technical Business Solutions,Sweden,Enterprise Sellers,60,8,18000,More than 1M,5K to 15K,0 (No business),Known,10K to 20K
Technical Business Solutions,Sweden,Marketing,16,2,24626,100K or less,1K or less,0 (No business),Unknown,20K to 30K
ERP Implementation,Spain,Marketing,39,2,5000,100K or less,1K or less,0 (No business),Unknown,10K or less
ERP Implementation,Spain,Tele Sales,11,2,13882,100K or less,1K or less,0 (No business),Unknown,10K to 20K
Technical Business Solutions,France,Marketing,84,3,26957,100K or less,5K to 15K,0 (No business),Known,20K to 30K
Technical Business Solutions,Italy,Marketing,63,9,46549,100K to 250K,1K or less,0 (No business),Unknown,40K to 50K
ERP Implementation,Germany,Enterprise Sellers,37,4,31604,100K or less,1K or less,0 (No business),Known,30K to 40K
ERP Implementation,France,Enterprise Sellers,47,2,26491,100K or less,1K or less,0 (No business),Unknown,20K to 30K
ERP Implementation,United Kingdom,Enterprise Sellers,20,3,25088,100K or less,1K or less,0 (No business),Unknown,20K to 30K